Region,Expected Reports,Received Reports,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
Sindh,2111,2080,99,23,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,IDSRS Week 23 Bulletin (2026),2026-08-08T00:40:16Z
National,6610,5292,74,23,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-23-2026.pdf,IDSRS Week 23 Bulletin (2026),2026-08-08T00:40:16Z
KP,2277,1808,79,22,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,IDSRS Week 22 Bulletin (2026),2026-08-08T00:40:19Z
AJK,476,463,97,22,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,IDSRS Week 22 Bulletin (2026),2026-08-08T00:40:19Z
ICT,38,32,84,22,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,IDSRS Week 22 Bulletin (2026),2026-08-08T00:40:19Z
Balochistan,1303,532,41,22,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,IDSRS Week 22 Bulletin (2026),2026-08-08T00:40:19Z
GB,405,375,93,22,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,IDSRS Week 22 Bulletin (2026),2026-08-08T00:40:19Z
Sindh,2111,2082,99,22,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,IDSRS Week 22 Bulletin (2026),2026-08-08T00:40:19Z
National,6610,5292,80,22,2026,https://www.nih.org.pk/wp-content/uploads/2026/07/IDSRS Weekly Report-22-2026.pdf,IDSRS Week 22 Bulletin (2026),2026-08-08T00:40:19Z
KP,2277,1711,75,21,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,IDSRS Week 21 Bulletin (2026),2026-08-08T00:40:22Z
AJK,476,464,97,21,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,IDSRS Week 21 Bulletin (2026),2026-08-08T00:40:22Z
ICT,38,30,79,21,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,IDSRS Week 21 Bulletin (2026),2026-08-08T00:40:22Z
Balochistan,1303,520,40,21,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,IDSRS Week 21 Bulletin (2026),2026-08-08T00:40:22Z
GB,405,365,90,21,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,IDSRS Week 21 Bulletin (2026),2026-08-08T00:40:22Z
Sindh,2111,2012,95,21,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,IDSRS Week 21 Bulletin (2026),2026-08-08T00:40:22Z
National,6610,5102,77,21,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-21-2026 (1).pdf,IDSRS Week 21 Bulletin (2026),2026-08-08T00:40:22Z
KP,2277,1759,77,20,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,IDSRS Week 20 Bulletin (2026),2026-08-08T00:40:25Z
AJK,476,435,91,20,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,IDSRS Week 20 Bulletin (2026),2026-08-08T00:40:25Z
ICT,38,7,18,20,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,IDSRS Week 20 Bulletin (2026),2026-08-08T00:40:25Z
Balochistan,1303,649,50,20,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,IDSRS Week 20 Bulletin (2026),2026-08-08T00:40:25Z
GB,405,334,82,20,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,IDSRS Week 20 Bulletin (2026),2026-08-08T00:40:25Z
Sindh,2111,2074,98,20,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,IDSRS Week 20 Bulletin (2026),2026-08-08T00:40:25Z
National,6610,5258,80,20,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/Weekly Report-20-2026.pdf,IDSRS Week 20 Bulletin (2026),2026-08-08T00:40:25Z
KP,2277,1842,81,19,2026,https://www.nih.org.pk/wp-content/uploads/2026/06/IDSRS Weekly Report-19-2026-NG reviewed.pdf,IDSRS Week 19 Bulletin (2026),2026-08-08T00:40:28Z
